Rownum,Predicteddate
1043,20100075.721744116
1044,20097204.22768904
1045,20152914.65956184
1046,20169635.68011488
1047,20033171.110153176
1048,20123854.97493234
1049,20039485.67547989
1050,20141239.646245327
1051,20137938.01259366
1052,20092087.80927705
1053,20147590.37010992
1054,19993959.900189914
1055,20141823.35023952
1056,20103917.563807208
1057,20184334.724603087
1058,20118737.967074566
1059,20090026.07072492
1060,20161924.050034348
1061,20095199.844703745
1062,20006097.15762479
1063,20077543.397285283
1064,20152306.317476895
1065,20079537.70523779
1066,20105239.342246138
1067,19893780.437058136
1068,20021246.691489648
1069,20176873.004959147
1070,20158931.035554226
1071,20135567.809618395
1072,20097116.79314828
1073,20134213.715793934
1074,20060505.459503923
1075,20181176.990674186
1076,20098446.545467682
1077,20135905.238053195
1078,20099521.729105353
1079,20081128.923186924
1080,20076094.887826014
1081,20138229.80651526
1082,20099509.817881037
1083,20063408.557193648
1084,20164155.872162376
1085,20053067.963327415
1086,20051623.20131147
1087,20154556.496518925
1088,20123760.51776454
1089,20082321.969321176
1090,20098492.75423002
1091,20152634.493645106
1092,20152308.629221875
1093,20098241.181888998
1094,20061177.64091544
1095,20131356.566362236
1096,20143127.302230984
1097,20049576.040448144
1098,20185251.456062708
1099,20120215.663204588
1100,20154064.26654557
1101,20133494.950562418
1102,20145090.22251933
1103,20184041.78366544
1104,20135838.238139786
1105,20167282.628875203
1106,20149177.466335624
1107,20179474.518270213
1108,20131336.811338264
1109,20160130.231421422
1110,20148521.41981548
1111,20171054.82770716
1112,20139131.525431875
1113,20148836.028367914
1114,20141329.95760574
1115,20149630.442075472
1116,20094707.983989865
1117,20128008.625690512
1118,20162876.47902982
1119,20056886.35133889
1120,20175151.765659697
1121,20027486.352648206
1122,20092812.96730885
1123,20149475.174660835
1124,20118018.87935602
1125,20087725.009423155
1126,20136134.834273387
1127,20066673.449865706
1128,19976554.09550045
1129,20176248.259276923
1130,20163609.335605145
1131,20072174.21739135
1132,20169295.6369981
1133,20154908.164193217
1134,20168435.62772556
1135,20161177.471934747
1136,20104465.279640704
1137,20060084.056348674
1138,20062731.668036748
1139,20156144.07751182
1140,20187442.392171703
1141,20185958.97106597
1142,20161908.05285952
1143,20121140.38614632
1144,20065011.939935077
1145,20036598.53000713
1146,20080996.58459044
1147,20060748.85454319
1148,20172869.7916257
1149,20078536.79970438
1150,20092134.711449347
1151,20095643.475166496
1152,20148383.69622341
1153,20147133.158322036
1154,20154420.224447962
1155,20132348.909193516
1156,20095504.21792218
1157,20174213.490572777
1158,20080705.087864798
1159,20147425.633005105
1160,20168729.307296265
1161,20150553.2641726
1162,20158212.617658976
1163,20023908.97213283
1164,20154556.53450566
1165,20120430.509981412
1166,20117888.862095058
1167,20141604.549573652
1168,20063232.819085788
1169,20124090.933218483
1170,20182726.86260796
1171,20180462.510557346
1172,20099827.548663747
1173,20045796.755181573
